Input: 1
File 1 name A.pdf
File 2 name A.pdf

Input: 2
Input: 3Citations found for paper
Found 194. Luo X, Budihardjo I, Zou H, Slaughter C and Wang X (1998
Citations found for paper
Found 194. Luo X, Budihardjo I, Zou H, Slaughter C and Wang X (1998
WARNING - Could not find in-text citations for document - CASE 1
Found CASE 2 (1999)
Found CASE 2 (1992)
Found CASE 2 (1992)
Found CASE 2 (1991)
Found CASE 2 (1996)
Found CASE 2 (1993)
Found CASE 2 (1999)
Found CASE 2 (1995)
Found CASE 2 (1996)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1996)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1995)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1994)
Found CASE 2 (1994)
Found CASE 2 (1996)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1995)
Found CASE 2 (1995)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1996)
Found CASE 2 (1999)
Found CASE 2 (1999)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1995)
Found CASE 2 (1996)
Found CASE 2 (1994)
Found CASE 2 (1999)
Found CASE 2 (1996)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1996)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1999)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1999)
Found CASE 2 (1997)
Found CASE 2 (6676)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1994)
Found CASE 2 (1993)
Found CASE 2 (1997)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1995)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (6683)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1999)
Found CASE 2 (1995)
Found CASE 2 (1994)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1995)
Found CASE 2 (1997)
Found CASE 2 (1999)
Found CASE 2 (1996)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1999)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1995)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1995)
Found CASE 2 (1998)
Found CASE 2 (1996)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1999)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1997)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1995)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1997)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1995)
Found CASE 2 (1995)
Found CASE 2 (1997)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1996)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1999)
Found CASE 2 (1999)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1997)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1998)
Found CASE 2 (1999)
Closing file
